0: "Merge Sorted Array"
1: "Remove Element"
2: "Remove Duplicates from Sorted Array"
3: "Remove Duplicates from Sorted Array II"
4: "Majority Element"
5: "Rotate Array"
6: "Best Time to Buy and Sell Stock"
7: "Best Time to Buy and Sell Stock II"
8: "Jump Game"
9: "Jump Game II"
10: "H-Index"
11: "Insert Delete GetRandom O(1)"
12: "Product of Array Except Self"
13: "Gas Station"
14: "Candy"
15: "Trapping Rain Water"
16: "Roman to Integer"
17: "Integer to Roman"
18: "Length of Last Word"
19: "Longest Common Prefix"
20: "Reverse Words in a String"
21: "Zigzag Conversion"
22: "Find the Index of the First Occurrence in a String"
23: "Text Justification"
24: "Valid Palindrome"
25: "Is Subsequence"
26: "Two Sum II - Input Array Is Sorted"
27: "Container With Most Water"
28: "3Sum"
29: "Minimum Size Subarray Sum"
30: "Longest Substring Without Repeating Characters"
31: "Substring with Concatenation of All Words"
32: "Minimum Window Substring"
33: "Valid Sudoku"
34: "Spiral Matrix"
35: "Rotate Image"
36: "Set Matrix Zeroes"
37: "Game of Life"
38: "Ransom Note"
39: "Isomorphic Strings"
40: "Word Pattern"
41: "Valid Anagram"
42: "Group Anagrams"
43: "Two Sum"
44: "Happy Number"
45: "Contains Duplicate II"
46: "Longest Consecutive Sequence"
47: "Summary Ranges"
48: "Merge Intervals"
49: "Insert Interval"
50: "Minimum Number of Arrows to Burst Balloons"
51: "Valid Parentheses"
52: "Simplify Path"
53: "Min Stack"
54: "Evaluate Reverse Polish Notation"
55: "Basic Calculator"
56: "Linked List Cycle"
57: "Add Two Numbers"
58: "Merge Two Sorted Lists"
59: "Copy List with Random Pointer"
60: "Reverse Linked List II"
61: "Reverse Nodes in k-Group"
62: "Remove Nth Node From End of List"
63: "Remove Duplicates from Sorted List II"
64: "Rotate List"
65: "Partition List"
66: "LRU Cache"
67: "Maximum Depth of Binary Tree"
68: "Same Tree"
69: "Invert Binary Tree"
70: "Symmetric Tree"
71: "Construct Binary Tree from Preorder and Inorder Traversal"
72: "Construct Binary Tree from Inorder and Postorder Traversal"
73: "Populating Next Right Pointers in Each Node II"
74: "Flatten Binary Tree to Linked List"
75: "Path Sum"
76: "Sum Root to Leaf Numbers"
77: "Binary Tree Maximum Path Sum"
78: "Binary Search Tree Iterator"
79: "Count Complete Tree Nodes"
80: "Lowest Common Ancestor of a Binary Tree"
81: "Binary Tree Right Side View"
82: "Average of Levels in Binary Tree"
83: "Binary Tree Level Order Traversal"
84: "Binary Tree Zigzag Level Order Traversal"
85: "Minimum Absolute Difference in BST"
86: "Kth Smallest Element in a BST"
87: "Validate Binary Search Tree"
88: "Number of Islands"
89: "Surrounded Regions"
90: "Clone Graph"
91: "Evaluate Division"
92: "Course Schedule"
93: "Course Schedule II"
94: "Snakes and Ladders"
95: "Minimum Genetic Mutation"
96: "Word Ladder"
97: "Implement Trie (Prefix Tree)"
98: "Design Add and Search Words Data Structure"
99: "Word Search II"
100: "Letter Combinations of a Phone Number"
101: "Combinations"
102: "Permutations"
103: "Combination Sum"
104: "N-Queens II"
105: "Generate Parentheses"
106: "Word Search"
107: "Convert Sorted Array to Binary Search Tree"
108: "Sort List"
109: "Construct Quad Tree"
110: "Merge k Sorted Lists"
111: "Maximum Subarray"
112: "Maximum Sum Circular Subarray"
113: "Search Insert Position"
114: "Search a 2D Matrix"
115: "Find Peak Element"
116: "Search in Rotated Sorted Array"
117: "Find First and Last Position of Element in Sorted Array"
118: "Find Minimum in Rotated Sorted Array"
119: "Median of Two Sorted Arrays"
120: "Kth Largest Element in an Array"
121: "IPO"
122: "Find K Pairs with Smallest Sums"
123: "Find Median from Data Stream"
124: "Add Binary"
125: "Reverse Bits"
126: "Number of 1 Bits"
127: "Single Number"
128: "Single Number II"
129: "Bitwise AND of Numbers Range"
130: "Palindrome Number"
131: "Plus One"
132: "Factorial Trailing Zeroes"
133: "Sqrt(x)"
134: "Pow(x, n)"
135: "Max Points on a Line"
136: "Climbing Stairs"
137: "House Robber"
138: "Word Break"
139: "Coin Change"
140: "Longest Increasing Subsequence"
141: "Triangle"
142: "Minimum Path Sum"
143: "Unique Paths II"
144: "Longest Palindromic Substring"
145: "Interleaving String"
146: "Edit Distance"
147: "Best Time to Buy and Sell Stock III"
148: "Best Time to Buy and Sell Stock IV"
149: "Maximal Square
